mnet_name,patch_size,pretraining_epochs,n_samples,theta_val,sigmaRui_sq,camelyon_test_loss,camelyon_test_loss_mse,camelyon_test_loss_kl,camelyon_test_mse_rec,camelyon_test_psnr_rec,camelyon_test_ssim_rec
mobilenetv3s,224,0,60000,0.5,0.05,6.7830304638246695,10.213229414567351,3.3528315137724083,0.00015248755999133816,29.989587127685546,0.9895348077565431
mobilenetv3s,224,0,60000,0.1,0.05,7.285716484189034,7.1663054126749435,8.36041775671641,5.3597426174292195e-05,35.8960943253835,0.9920657319674889
mobilenetv3s,224,0,60000,0.7,0.2,17.86452163128058,44.9139246861736,6.271919658700625,0.0011405694302314563,21.485952046950658,0.9611073174526295
mobilenetv3s,224,0,60000,0.5,0.2,12.067212405860424,17.077163336887956,7.057261475086213,0.0003428346375882635,27.529730658690134,0.9837658731937409
mobilenetv3s,224,0,60000,0.2,0.2,14.950337957998117,17.335123956397176,5.411192755361398,0.00013827331274039048,32.98280787690481,0.9877411368687947
mobilenetv3s,224,0,60000,0.7,1.0,22.94516167807579,16.946455122182766,25.516036073843637,0.00012740175200747216,32.55710157299042,0.9856004713922739
mobilenetv3s,224,0,60000,0.5,1.0,27.396175930221876,44.71301842880249,10.079333429137865,0.0010802686928072945,21.12788090991974,0.9608295493175586
mobilenetv3s,224,0,60000,0.2,1.0,15.844210859696071,13.091547015175223,26.854864863554635,8.346672558176731e-05,34.34974337402979,0.9912356551736593
resnet18ft,224,0,60000,0.7,0.2,9.594332236627737,22.927438452040157,3.8801435221036273,0.0002625553095701131,28.499751698493956,0.98284081513683
mobilenetv3s,224,0,60000,0.7,0.05,5.713752658009529,14.511366147572796,1.9433466495871543,0.00027220892531234613,27.697154335657757,0.9865907018284003
mobilenetv3s,224,0,60000,0.2,0.05,8.343020422021548,8.836387928446134,6.369549666980903,8.072405091843393e-05,33.970471243540445,0.9911363177001477
mobilenetv3s,224,0,60000,0.7,0.1,6.588997397144635,17.65480729425947,1.8465071702152491,0.00021478326347156932,28.72494761578242,0.9883079391966263
mobilenetv3s,224,0,60000,0.5,0.1,15.913166163802147,26.32242632885774,5.503905997832616,0.0005719601563602434,24.689657457907995,0.9730492893159389
mobilenetv3s,224,0,60000,0.2,0.1,7.387424882968267,7.4291851545547445,7.220383162061373,6.183364793287183e-05,35.94969118245443,0.9909660849024852
mobilenetv3s,224,0,60000,0.7,0.005,7.893435334265232,15.678019207437833,4.557184908489386,0.000126106736564149,29.812029049873352,0.9903052141169707
mobilenetv3s,224,0,60000,0.5,0.005,7.577987141788006,9.421628472735485,5.734345806678136,0.0001173860334671796,30.817124742825825,0.9903715739995241
mobilenetv3s,224,0,60000,0.2,0.005,8.145046181291342,8.338703017840782,7.3704181543986005,5.8712200039811555e-05,34.89770975828171,0.9917287694414457
